"scenario","year","tas","tas_30yr"
"historical",1990,8.56629529979133,8.0399736143643
"historical",1991,7.49396069670379,8.01287075814195
"historical",1992,6.64260654136785,7.95187542487565
"historical",1993,6.72048573951201,7.8993039022631
"historical",1994,7.3679030326948,7.86129377133484
"historical",1995,7.51089510982986,7.85826700170549
"historical",1996,8.94726327364564,7.85676496518542
"historical",1997,9.04936088666526,7.88157959110401
"historical",1998,8.66181180771085,7.86094169103278
"historical",1999,8.48193459706766,7.87247098121899
"historical",2000,8.77231179325961,7.9284315803422
"historical",2001,9.33890539718003,7.99709686967671
"historical",2002,8.12793671072348,7.98803172156845
"historical",2003,7.90155204877464,7.96369483091669
"historical",2004,9.09229889749832,7.9895151806223
"historical",2005,8.2929872277665,7.99800869361637
"historical",2006,8.52064936389664,8.02953432415277
"historical",2007,9.11840092907215,8.08345798171378
"historical",2008,10.3448929750203,8.18484814615474
"historical",2009,9.19209853916954,8.26065369037652
"historical",2010,8.91116692529968,8.28991257493238
"historical",2011,9.07924879936325,8.34511389061624
"historical",2012,8.81673275473342,8.3818127222559
"historical",2013,9.8146261972924,8.40810881912733
"historical",2014,8.30796057296128,8.42917382326987
"ssp126",1850,7.4293804011933,7.4293804011933
"ssp126",1851,8.03340027691569,7.7313903390545
"ssp126",1852,9.3579624196871,8.2735810325987
"ssp126",1853,6.45706991953395,7.81945325433251
"ssp126",1854,8.92745804460084,8.04105421238618
"ssp126",1855,9.09630787470572,8.21692982277277
"ssp126",1856,8.4977814554517,8.25705148458404
"ssp126",1857,9.41478681172412,8.40176840047655
"ssp126",1858,7.3051127394585,8.27991777147455
"ssp126",1859,8.97793035637845,8.34971902996494
"ssp126",1860,8.43375157424012,8.35735835217177
"ssp126",1861,8.71514298948525,8.38717373861456
"ssp126",1862,7.6407573543183,8.32975709366869
"ssp126",1863,8.72699008053299,8.35813087844472
"ssp126",1864,8.82456451582781,8.38922645427025
"ssp126",1865,8.49872641367457,8.39607020173302
"ssp126",1866,9.66216430664065,8.47054632555112
"ssp126",1867,8.19805682456659,8.45540801994087
